"범죄별","처분결과별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년",
"합계","합계","소년범죄자 처분결과","명","69211","88104","134992","113022","89776","83060","102871","88062","62010","56050","60669","58218","52278","52973",
"합계","기소","소년범죄자 처분결과","명","9315","10367","15150","7795","5443","4691","7877","8758","6408","6252","6113","5833","6168","6498",
"합계","구공판_구속","소년범죄자 처분결과","명","1432","1330","2096","1770","1386","1315","1655","1493","1063","1094","933","728","728","712",
"합계","구공판_불구속","소년범죄자 처분결과","명","1064","1485","2727","2159","1527","1710","3243","3800","2822","2940","2822","2721","3222","3596",
"합계","구약식","소년범죄자 처분결과","명","6819","7552","10327","3866","2530","1666","2979","3465","2523","2218","2358","2384","2218","2190",
"합계","소년보호송치","소년범죄자 처분결과","명","14105","21368","28360","32453","30143","30587","36478","29641","20588","18216","20597","20578","19648","20885",
"합계","가정보호송치","소년범죄자 처분결과","명","20","22","30","37","9","10","21","35","45","119","147","136","131","177",
"합계","성매매보호송치","소년범죄자 처분결과","명","10","21","46","16","11","7","-","2","-","-","-","","-","-",
"합계","아동보호송치","소년범죄자 처분결과","명","","","","","","","","","","","4","2","3","4",
"합계","불기소","소년범죄자 처분결과","명","43495","54424","88932","71100","52685","46224","56668","47486","32991","30198","32235","31371","25964","25102",
"합계","기소유예","소년범죄자 처분결과","명","36808","44689","62977","56715","42021","36582","43013","34914","22995","19623","21044","20108","15939","15129",
"합계","혐의없음","소년범죄자 처분결과","명","2353","3029","4944","4684","4801","4151","6113","5925","4343","4518","4815","4636","4255","4729",
"합계","죄가안됨","소년범죄자 처분결과","명","306","394","2073","1184","339","272","324","202","152","105","136","121","126","114",
"합계","공소권없음","소년범죄자 처분결과","명","4028","6312","18938","8517","5524","5219","7218","6445","5501","5952","6240","6506","5644","5130",
"합계","기소중지","소년범죄자 처분결과","명","2163","1809","2370","1535","1392","1455","1686","2032","1875","1211","1539","269","337","281",
"합계","참고인중지","소년범죄자 처분결과","명","103","93","104","86","93","86","141","108","103","54","34","29","27","26",
"합계","공소보류","소년범죄자 처분결과","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"형법범","합계","소년범죄자 처분결과","명","50846","60426","79765","81378","70045","66237","84033","71673","50442","44992","48633","46106","42525","43346",
"형법범","기소","소년범죄자 처분결과","명","4800","5006","7565","5037","3808","3717","6285","7045","5311","5054","4836","4640","5024","5400",
"형법범","구공판_구속","소년범죄자 처분결과","명","1316","1230","1864","1568","1323","1265","1503","1348","1022","1031","867","678","674","673",
"형법범","구공판_불구속","소년범죄자 처분결과","명","799","1179","2048","1776","1323","1507","2867","3368","2597","2650","2497","2404","2907","3239",
"형법범","구약식","소년범죄자 처분결과","명","2685","2597","3653","1693","1162","945","1915","2329","1692","1373","1472","1558","1443","1488",
"형법범","소년보호송치","소년범죄자 처분결과","명","11694","16936","22223","26768","25144","25318","30938","25075","17580","15274","17127","16842","16565","17500",
"형법범","가정보호송치","소년범죄자 처분결과","명","20","19","28","36","9","9","17","34","45","115","146","136","131","175",
"형법범","성매매보호송치","소년범죄자 처분결과","명","-","-","1","-","-","-","-","-","-","-","-","","-","-",
"형법범","아동보호송치","소년범죄자 처분결과","명","","","","","","","","","","","2","1","2","2",
"형법범","불기소","소년범죄자 처분결과","명","32552","36901","48151","48212","39823","35868","45222","37606","25798","23466","25158","24248","20521","20015",
"형법범","기소유예","소년범죄자 처분결과","명","28474","31590","39473","40293","31754","28496","34578","27900","18224","15424","16435","15267","12286","11708",
"형법범","혐의없음","소년범죄자 처분결과","명","1992","2577","4085","3984","4223","3573","5153","4869","3637","3721","4041","3925","3704","4118",
"형법범","죄가안됨","소년범죄자 처분결과","명","239","229","374","300","246","214","281","176","136","96","121","110","120","106",
"형법범","공소권없음","소년범죄자 처분결과","명","1847","2505","4219","3635","3600","3585","5210","4661","3801","4225","4561","4946","4411","4083",
"형법범","기소중지","소년범죄자 처분결과","명","1687","1475","1707","1259","1180","1254","1455","1820","1612","1032","1335","211","258","233",
"형법범","참고인중지","소년범죄자 처분결과","명","93","89","90","66","81","71","116","93","96","51","29","28","24","21",
"형법범","공소보류","소년범죄자 처분결과","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"재산범죄","합계","소년범죄자 처분결과","명","29506","33659","39687","45774","40478","37978","45292","43840","29838","26064","27361","24098","21828","23173",
"재산범죄","기소","소년범죄자 처분결과","명","2327","2489","3487","2729","2005","2020","3454","4375","3162","2989","2784","2475","2875","3065",
"재산범죄","구공판_구속","소년범죄자 처분결과","명","771","779","994","857","739","644","851","826","600","623","496","387","439","385",
"재산범죄","구공판_불구속","소년범죄자 처분결과","명","501","731","1169","1048","763","902","1785","2392","1769","1712","1602","1453","1820","1980",
"재산범죄","구약식","소년범죄자 처분결과","명","1055","979","1324","824","503","474","818","1157","793","654","686","635","616","700",
"재산범죄","소년보호송치","소년범죄자 처분결과","명","6727","8903","10806","15060","14954","14531","17545","16515","11235","9853","10641","9826","9602","10419",
"재산범죄","가정보호송치","소년범죄자 처분결과","명","7","3","4","-","2","1","-","1","1","3","17","16","12","18",
"재산범죄","성매매보호송치","소년범죄자 처분결과","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"재산범죄","아동보호송치","소년범죄자 처분결과","명","","","","","","","","","","","-","1","-","-",
"재산범죄","불기소","소년범죄자 처분결과","명","18875","21028","24090","27078","22546","20468","23103","21294","14325","12670","13361","11651","9177","9567",
"재산범죄","기소유예","소년범죄자 처분결과","명","17675","19420","21863","24570","19875","18044","20161","18227","12193","10378","10974","9692","7378","7507",
"재산범죄","혐의없음","소년범죄자 처분결과","명","868","1118","1622","1789","1988","1683","2390","2532","1728","2060","2155","1773","1661","1937",
"재산범죄","죄가안됨","소년범죄자 처분결과","명","128","126","144","123","117","91","72","45","39","27","44","25","25","33",
"재산범죄","공소권없음","소년범죄자 처분결과","명","204","364","461","596","566","650","480","490","365","205","188","161","113","90",
"재산범죄","기소중지","소년범죄자 처분결과","명","1489","1185","1251","866","911","915","1116","1598","1049","524","537","114","149","95",
"재산범죄","참고인중지","소년범죄자 처분결과","명","81","51","49","41","60","43","74","57","66","25","21","15","13","9",
"재산범죄","공소보류","소년범죄자 처분결과","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"절도","합계","소년범죄자 처분결과","명","24842","28839","33073","38494","33534","31380","35586","32147","21669","17661","19112","16983","14078","14344",
"절도","기소","소년범죄자 처분결과","명","1488","1657","2322","1887","1394","1519","2344","2818","1989","1908","1661","1390","1520","1446",
"절도","구공판_구속","소년범죄자 처분결과","명","717","727","887","762","667","589","758","735","522","513","385","269","300","242",
"절도","구공판_불구속","소년범죄자 처분결과","명","359","520","909","850","532","644","1270","1652","1217","1172","1059","933","1079","1056",
"절도","구약식","소년범죄자 처분결과","명","412","410","526","275","195","286","316","431","250","223","217","188","141","148",
"절도","소년보호송치","소년범죄자 처분결과","명","6232","8223","9656","13141","12749","12350","14504","13146","8779","7148","7934","7241","6581","6820",
"절도","가정보호송치","소년범죄자 처분결과","명","6","3","1","-","2","-","-","-","-","1","-","","-","-",
"절도","성매매보호송치","소년범죄자 처분결과","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"절도","아동보호송치","소년범죄자 처분결과","명","","","","","","","","","","","-","1","-","-",
"절도","불기소","소년범죄자 처분결과","명","16864","18691","20709","23143","19093","17175","18404","15865","10489","8385","9193","8308","5910","6057",
"절도","기소유예","소년범죄자 처분결과","명","16207","17814","19274","21291","17174","15443","16662","14208","9392","7432","8201","7426","5218","5287",
"절도","혐의없음","소년범죄자 처분결과","명","435","609","998","1287","1388","1172","1347","1304","818","791","834","756","609","691",
"절도","죄가안됨","소년범죄자 처분결과","명","104","110","130","105","89","67","56","36","31","17","22","20","19","21",
"절도","공소권없음","소년범죄자 처분결과","명","118","158","307","460","442","493","339","317","248","145","136","106","64","58",
"절도","기소중지","소년범죄자 처분결과","명","242","253","371","303","273","321","304","313","399","217","321","41","61","21",
"절도","참고인중지","소년범죄자 처분결과","명","10","12","14","20","23","15","30","5","13","2","3","2","6","-",
"절도","공소보류","소년범죄자 처분결과","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"장물","합계","소년범죄자 처분결과","명","222","271","571","820","722","454","1128","1424","684","624","489","347","235","154",
"장물","기소","소년범죄자 처분결과","명","24","19","38","32","19","15","78","148","53","47","43","26","11","12",
"장물","구공판_구속","소년범죄자 처분결과","명","2","1","2","1","-","-","10","7","2","1","2","","1","-",
"장물","구공판_불구속","소년범죄자 처분결과","명","2","1","13","9","6","7","36","54","18","23","21","18","5","3",
