"범죄별","처분결과별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년",
"합계","합계","소녀범죄자 처분결과","명","10501","13930","26510","19513","17315","14326","17342","14204","10937","9874","11685","12495","11787","11437",
"합계","기소","소녀범죄자 처분결과","명","962","1049","1731","662","1126","398","691","739","629","590","575","606","734","730",
"합계","구공판_구속","소녀범죄자 처분결과","명","61","65","147","124","101","69","108","62","65","67","47","60","67","47",
"합계","구공판_불구속","소녀범죄자 처분결과","명","73","110","249","187","201","138","271","277","241","215","222","226","287","321",
"합계","구약식","소녀범죄자 처분결과","명","828","874","1335","351","824","191","312","400","323","308","306","320","380","362",
"합계","소년보호송치","소녀범죄자 처분결과","명","2070","3333","4837","5010","4571","5240","5794","4219","3152","2516","3297","3901","3840","3798",
"합계","가정보호송치","소녀범죄자 처분결과","명","7","5","6","8","2","-","3","5","5","32","41","45","41","39",
"합계","성매매보호송치","소녀범죄자 처분결과","명","10","18","46","16","13","7","-","2","4","7","13","27","11","9",
"합계","아동보호송치","소녀범죄자 처분결과","명","","","","","","","","","","","7","3","4","3",
"합계","불기소","소녀범죄자 처분결과","명","6856","9042","19216","13407","11055","8267","10365","8660","6557","6360","7377","7808","7076","6788",
"합계","기소유예","소녀범죄자 처분결과","명","5706","7132","12072","10160","8807","6677","8095","6532","4604","3940","4708","4946","4466","4037",
"합계","혐의없음","소녀범죄자 처분결과","명","549","666","1010","913","1122","772","1116","1116","1028","1368","1326","1266","1220","1296",
"합계","죄가안됨","소녀범죄자 처분결과","명","66","113","982","411","83","54","62","55","30","27","37","42","53","37",
"합계","공소권없음","소녀범죄자 처분결과","명","535","1131","5152","1923","1043","764","1092","957","895","1025","1306","1554","1337","1418",
"합계","기소중지","소녀범죄자 처분결과","명","566","434","641","390","513","397","463","552","563","341","366","96","73","68",
"합계","참고인중지","소녀범죄자 처분결과","명","30","49","33","20","35","17","26","27","27","28","9","9","8","2",
"합계","공소보류","소녀범죄자 처분결과","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"형법범","합계","소녀범죄자 처분결과","명","9128","11030","15639","14911","14664","12446","15032","12151","9174","8036","9643","10390","9902","9598",
"형법범","기소","소녀범죄자 처분결과","명","597","556","910","468","789","340","563","625","534","478","422","466","601","609",
"형법범","구공판_구속","소녀범죄자 처분결과","명","55","59","134","105","100","64","90","56","55","56","28","44","49","42",
"형법범","구공판_불구속","소녀범죄자 처분결과","명","55","92","187","160","176","128","231","253","221","191","175","180","244","278",
"형법범","구약식","소녀범죄자 처분결과","명","487","405","589","203","513","148","242","316","258","231","219","242","308","289",
"형법범","소년보호송치","소녀범죄자 처분결과","명","1948","3063","4254","4410","4117","4569","5136","3779","2786","2176","2818","3377","3376","3270",
"형법범","가정보호송치","소녀범죄자 처분결과","명","7","3","5","8","2","-","3","4","5","31","40","42","41","39",
"형법범","성매매보호송치","소녀범죄자 처분결과","명","-","-","1","-","-","-","-","-","-","-","-","","-","-",
"형법범","아동보호송치","소녀범죄자 처분결과","명","","","","","","","","","","","2","","1","1",
"형법범","불기소","소녀범죄자 처분결과","명","6025","6953","9945","9694","9271","7165","8896","7205","5318","5028","6037","6420","5814","5618",
"형법범","기소유예","소녀범죄자 처분결과","명","5122","5820","8196","8153","7397","5799","6924","5380","3649","3064","3737","3924","3518","3179",
"형법범","혐의없음","소녀범죄자 처분결과","명","507","604","844","786","950","690","1006","957","872","1058","1106","1062","1067","1128",
"형법범","죄가안됨","소녀범죄자 처분결과","명","34","41","68","74","70","35","47","42","23","17","28","37","44","31",
"형법범","공소권없음","소녀범죄자 처분결과","명","362","488","837","681","854","641","919","826","774","889","1166","1397","1185","1280",
"형법범","기소중지","소녀범죄자 처분결과","명","525","408","497","316","454","359","415","513","506","297","319","79","62","59",
"형법범","참고인중지","소녀범죄자 처분결과","명","26","47","27","15","31","13","19","25","25","26","5","6","7","2",
"형법범","공소보류","소녀범죄자 처분결과","명","-","-","-","-","-","-","-","-","-","-","-","","-","-",
"재산범죄","합계","소녀범죄자 처분결과","명","3508","3899","5024","5774","6253","5153","5797","6112","4550","3777","4268","4244","3994","3889",
"재산범죄","기소","소녀범죄자 처분결과","명","309","246","348","205","375","161","259","323","265","253","192","182","252","253",
"재산범죄","구공판_구속","소녀범죄자 처분결과","명","27","21","42","37","39","23","38","27","22","22","14","17","17","23",
