"범죄별","재범기간및종류별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년",
"합계","합계","소년범죄자 재범기간 및 종류","명","19981","25525","35397","36532","31191","30261","44319","41032","32265","30248","30368","28583","26905","26459",
"합계","동종재범","소년범죄자 재범기간 및 종류","명","10029","12535","16373","17610","15640","14917","20234","18911","15014","13237","13103","12098","13091","13013",
"합계","1개월 이내","소년범죄자 재범기간 및 종류","명","1005","1477","2144","2851","2210","2772","3962","3065","2181","1992","2221","2087","2227","2165",
"합계","3개월 이내","소년범죄자 재범기간 및 종류","명","1327","1829","2416","3006","3544","3352","4525","3526","2615","2362","2575","2350","2499","2481",
"합계","6개월 이내","소년범죄자 재범기간 및 종류","명","1201","1559","2125","2419","2316","2083","2864","2749","2281","1969","1886","1890","2101","2017",
"합계","1년 이내","소년범죄자 재범기간 및 종류","명","3948","4882","6437","6552","5126","4656","6100","5877","4669","4012","4058","3607","3826","3816",
"합계","2년 이내","소년범죄자 재범기간 및 종류","명","1432","1506","1930","1748","1588","1329","1641","2154","1926","1667","1339","1258","1472","1503",
"합계","3년 이내","소년범죄자 재범기간 및 종류","명","773","891","930","846","673","594","858","1171","994","916","748","703","741","801",
"합계","3년 초과","소년범죄자 재범기간 및 종류","명","343","391","391","188","183","131","284","369","348","319","276","203","225","230",
"합계","이종재범","소년범죄자 재범기간 및 종류","명","9952","12990","19024","18922","15551","15344","24085","22121","17251","17011","17265","16485","13814","13446",
"합계","1개월 이내","소년범죄자 재범기간 및 종류","명","562","946","1441","1733","1257","1643","2653","2569","1940","1789","2085","1934","1823","1978",
"합계","3개월 이내","소년범죄자 재범기간 및 종류","명","907","1291","2027","2301","2426","2340","3486","3417","2545","2463","2755","2726","2455","2427",
"합계","6개월 이내","소년범죄자 재범기간 및 종류","명","955","1342","1998","2159","2065","2049","3033","3157","2526","2321","2357","2372","2024","1862",
"합계","1년 이내","소년범죄자 재범기간 및 종류","명","3519","4646","7069","7214","5282","5028","7602","6687","5165","5130","5362","5234","4293","4125",
"합계","2년 이내","소년범죄자 재범기간 및 종류","명","1771","2145","3233","3010","2481","2421","3267","3081","2719","2622","2426","2296","1783","1765",
"합계","3년 이내","소년범죄자 재범기간 및 종류","명","1212","1445","1863","1639","1345","1223","1866","1929","1520","1786","1484","1299","1012","928",
"합계","3년 초과","소년범죄자 재범기간 및 종류","명","1026","1175","1393","866","695","640","2178","1281","836","900","796","624","424","361",
"형법범","합계","소년범죄자 재범기간 및 종류","명","14508","17705","24416","27856","24672","24275","36404","34028","26748","24867","24775","23127","22364","21911",
"형법범","동종재범","소년범죄자 재범기간 및 종류","명","7710","9094","11794","13983","13276","12810","18091","16469","12982","11521","11281","10302","11204","11037",
"형법범","1개월 이내","소년범죄자 재범기간 및 종류","명","799","1127","1629","2376","1944","2502","3653","2838","2014","1828","2022","1863","2028","1957",
"형법범","3개월 이내","소년범죄자 재범기간 및 종류","명","1049","1324","1755","2460","3117","2967","4146","3215","2350","2104","2277","2047","2244","2187",
"형법범","6개월 이내","소년범죄자 재범기간 및 종류","명","913","1185","1584","1894","2006","1758","2594","2370","1997","1714","1633","1591","1819","1699",
"형법범","1년 이내","소년범죄자 재범기간 및 종류","명","3110","3540","4615","5159","4295","3921","5367","5077","4012","3481","3442","3045","3165","3204",
"형법범","2년 이내","소년범죄자 재범기간 및 종류","명","1046","1063","1338","1320","1280","1093","1376","1748","1551","1388","1102","1018","1160","1159",
"형법범","3년 이내","소년범죄자 재범기간 및 종류","명","551","593","604","630","504","470","731","945","791","762","598","571","602","643",
"형법범","3년 초과","소년범죄자 재범기간 및 종류","명","242","262","269","144","130","99","224","276","267","244","207","167","186","188",
"형법범","이종재범","소년범죄자 재범기간 및 종류","명","6798","8611","12622","13873","11396","11465","18313","17559","13766","13346","13494","12825","11160","10874",
"형법범","1개월 이내","소년범죄자 재범기간 및 종류","명","451","762","1103","1375","1046","1345","2196","2258","1733","1562","1793","1626","1645","1773",
"형법범","3개월 이내","소년범죄자 재범기간 및 종류","명","677","961","1497","1775","1917","1881","2832","2928","2216","2070","2294","2264","2125","2089",
"형법범","6개월 이내","소년범죄자 재범기간 및 종류","명","689","953","1403","1622","1564","1575","2411","2623","2138","1900","1934","1914","1717","1555",
"형법범","1년 이내","소년범죄자 재범기간 및 종류","명","2497","3176","4826","5368","3839","3718","5706","5194","4024","3972","4117","3990","3339","3205",
"형법범","2년 이내","소년범죄자 재범기간 및 종류","명","1143","1300","1985","2106","1752","1711","2395","2253","2024","1919","1780","1684","1294","1308",
"형법범","3년 이내","소년범죄자 재범기간 및 종류","명","719","831","1073","1099","868","840","1299","1427","1071","1300","1050","925","730","674",
"형법범","3년 초과","소년범죄자 재범기간 및 종류","명","622","628","735","528","410","395","1474","876","560","623","526","422","310","270",
"재산범죄","합계","소년범죄자 재범기간 및 종류","명","8581","10016","12920","16199","15310","15013","21753","22391","16824","15555","15317","13338","13104","13236",
"재산범죄","동종재범","소년범죄자 재범기간 및 종류","명","5457","6317","7890","10092","10124","9939","13411","11836","8823","8211","8029","6809","6889","6821",
"재산범죄","1개월 이내","소년범죄자 재범기간 및 종류","명","612","854","1158","1740","1621","2039","2900","2372","1679","1535","1677","1503","1561","1520",
"재산범죄","3개월 이내","소년범죄자 재범기간 및 종류","명","784","947","1208","1886","2428","2354","3264","2451","1734","1616","1737","1449","1512","1469",
"재산범죄","6개월 이내","소년범죄자 재범기간 및 종류","명","671","815","1094","1354","1521","1382","1894","1613","1324","1211","1117","1011","1107","1013",
"재산범죄","1년 이내","소년범죄자 재범기간 및 종류","명","2261","2501","3133","3738","3261","3015","3804","3693","2720","2453","2426","1942","1891","1917",
"재산범죄","2년 이내","소년범죄자 재범기간 및 종류","명","669","703","813","884","873","794","957","998","791","835","653","539","484","515",
"재산범죄","3년 이내","소년범죄자 재범기간 및 종류","명","328","362","351","399","338","294","461","560","438","442","319","297","253","302",
"재산범죄","3년 초과","소년범죄자 재범기간 및 종류","명","132","135","133","91","82","61","131","149","137","119","100","68","81","85",
"재산범죄","이종재범","소년범죄자 재범기간 및 종류","명","3124","3699","5030","6107","5186","5074","8342","10555","8001","7344","7288","6529","6215","6415",
"재산범죄","1개월 이내","소년범죄자 재범기간 및 종류","명","217","366","527","625","509","653","1061","1627","1279","1101","1229","1055","1192","1332",
"재산범죄","3개월 이내","소년범죄자 재범기간 및 종류","명","339","474","659","798","927","889","1426","1993","1497","1305","1426","1338","1333","1375",
"재산범죄","6개월 이내","소년범죄자 재범기간 및 종류","명","352","451","612","719","686","697","1169","1707","1316","1122","1112","1034","995","947",
"재산범죄","1년 이내","소년범죄자 재범기간 및 종류","명","1198","1390","1937","2419","1785","1703","2551","3076","2191","2120","2119","1884","1666","1787",
"재산범죄","2년 이내","소년범죄자 재범기간 및 종류","명","502","508","707","871","761","640","889","1070","944","859","761","698","550","559",
"재산범죄","3년 이내","소년범죄자 재범기간 및 종류","명","291","316","347","448","350","330","511","645","511","537","418","355","322","284",
"재산범죄","3년 초과","소년범죄자 재범기간 및 종류","명","225","194","241","227","168","162","735","437","263","300","223","165","157","131",
"절도","합계","소년범죄자 재범기간 및 종류","명","7082","8540","10851","13668","12702","12484","17281","16749","11998","10551","10458","9027","8219","7897",
