처분결과별(1),처분결과별(2),시점,소계,재산범죄,강력범죄(흉악),강력범죄(폭력),위조범죄,공무원범죄,풍속범죄,과실범죄,기타형법범죄
합계,소계,2013,83824,43840,2396,21446,2172,6,44,122,1647
합계,소계,2014,59616,29838,2808,14847,1087,0,69,111,1682
합계,소계,2015,53028,26064,2332,13385,1161,0,94,84,1872
합계,소계,2016,58276,27361,2926,14789,1278,9,228,113,1929
합계,소계,2017,56496,24098,3062,15959,1048,4,159,121,1655
합계,소계,2018,52427,21828,3083,14776,894,1,210,121,1612
합계,소계,2019,52944,23173,3255,14046,785,0,182,95,1810
기소,소계,2013,7670,4375,796,1604,76,0,6,7,181
기소,소계,2014,5845,3162,648,1214,59,0,9,5,214
기소,소계,2015,5532,2989,634,1175,63,0,8,3,182
기소,소계,2016,5258,2784,580,1174,60,0,21,2,215
기소,소계,2017,5106,2475,568,1350,66,0,11,4,166
기소,소계,2018,5625,2875,599,1324,57,0,13,5,151
기소,소계,2019,6009,3065,686,1402,69,0,24,3,151
기소,구공판_구속,2013,1404,826,388,119,3,0,0,1,11
기소,구공판_구속,2014,1077,600,306,98,5,0,0,0,13
기소,구공판_구속,2015,1087,623,298,93,4,0,0,1,12
기소,구공판_구속,2016,895,496,258,93,4,0,1,0,15
기소,구공판_구속,2017,722,387,195,81,5,0,0,0,10
기소,구공판_구속,2018,723,439,154,72,4,0,0,0,5
기소,구공판_구속,2019,715,385,187,85,12,0,0,0,4
기소,구공판_불구속,2013,3621,2392,356,550,29,0,1,1,39
기소,구공판_불구속,2014,2818,1769,319,390,33,0,3,2,81
기소,구공판_불구속,2015,2841,1712,328,505,32,0,5,0,68
기소,구공판_불구속,2016,2672,1602,310,438,38,0,5,2,102
기소,구공판_불구속,2017,2584,1453,320,522,33,0,5,1,70
기소,구공판_불구속,2018,3151,1820,403,562,41,0,7,1,73
기소,구공판_불구속,2019,3517,1980,456,687,36,0,8,2,70
기소,구약식,2013,2645,1157,52,935,44,0,5,5,131
기소,구약식,2014,1950,793,23,726,21,0,6,3,120
기소,구약식,2015,1604,654,8,577,27,0,3,2,102
기소,구약식,2016,1691,686,12,643,18,0,15,0,98
기소,구약식,2017,1800,635,53,747,28,0,6,3,86
기소,구약식,2018,1751,616,42,690,12,0,6,4,73
기소,구약식,2019,1777,700,43,630,21,0,16,1,77
소년보호송치,소계,2013,28854,16515,865,6670,491,0,15,14,505
소년보호송치,소계,2014,20366,11235,1105,4416,348,0,14,14,448
소년보호송치,소계,2015,17450,9853,778,3755,414,0,25,16,433
소년보호송치,소계,2016,19945,10641,1151,4366,447,0,25,17,480
소년보호송치,소계,2017,20219,9826,1181,5006,355,0,48,17,409
소년보호송치,소계,2018,19941,9602,1296,4856,318,0,49,20,424
소년보호송치,소계,2019,20770,10419,1333,4859,287,0,57,27,518
가정보호송치,소계,2013,38,1,2,31,0,0,0,0,0
가정보호송치,소계,2014,50,1,0,44,0,0,0,0,0
가정보호송치,소계,2015,146,3,0,112,0,0,0,0,0
가정보호송치,소계,2016,186,17,0,128,0,0,0,0,1
가정보호송치,소계,2017,178,16,1,119,0,0,0,0,0
가정보호송치,소계,2018,172,12,4,115,0,0,0,0,0
가정보호송치,소계,2019,214,18,1,155,0,0,0,0,1
성매매보호송치,소계,2013,0,0,0,0,0,0,0,0,0
성매매보호송치,소계,2014,0,0,0,0,0,0,0,0,0
성매매보호송치,소계,2015,0,0,0,0,0,0,0,0,0
성매매보호송치,소계,2016,0,0,0,0,0,0,0,0,0
성매매보호송치,소계,2018,0,0,0,0,0,0,0,0,0
성매매보호송치,소계,2019,0,0,0,0,0,0,0,0,0
아동보호송치,소계,2016,2,0,1,1,0,0,0,0,0
아동보호송치,소계,2017,3,1,0,0,0,0,0,0,0
아동보호송치,소계,2018,2,0,2,0,0,0,0,0,0
아동보호송치,소계,2019,3,0,1,0,0,0,0,0,1
불기소,소계,2013,37607,21294,714,12961,1570,4,21,99,943
불기소,소계,2014,33003,14325,942,8768,653,0,46,86,978
불기소,소계,2015,28784,12670,863,7934,672,0,61,60,1206
불기소,소계,2016,30186,13361,1115,8449,758,9,182,86,1198
불기소,소계,2017,30285,11651,1284,9419,622,4,99,99,1070
불기소,소계,2018,26941,9177,1147,8415,516,1,146,96,1023
불기소,소계,2019,25829,9567,1198,7533,427,0,101,65,1124
불기소,기소유예,2013,33518,18227,352,7330,1423,0,16,71,481
불기소,기소유예,2014,23604,12193,496,4426,590,0,39,52,428
불기소,기소유예,2015,19073,10378,518,3290,605,0,53,28,552
불기소,기소유예,2016,19499,10974,646,3413,669,0,170,40,523
불기소,기소유예,2017,19004,9692,744,3664,540,0,84,49,494
불기소,기소유예,2018,16210,7378,622,3261,453,0,80,57,435
불기소,기소유예,2019,15226,7507,581,2700,377,0,87,25,431
불기소,혐의없음,2013,8048,2532,196,1814,144,4,4,7,168
불기소,혐의없음,2014,4594,1728,429,1274,60,0,5,7,134
불기소,혐의없음,2015,4593,2060,332,1077,62,0,7,8,175
불기소,혐의없음,2016,5099,2155,457,1104,84,1,12,11,217
불기소,혐의없음,2017,5031,1773,515,1304,75,4,12,13,229
불기소,혐의없음,2018,4766,1661,500,1202,43,1,13,12,272
불기소,혐의없음,2019,5185,1937,600,1138,43,0,13,18,369
불기소,죄가안됨,2013,1304,45,13,98,0,0,0,4,16
불기소,죄가안됨,2014,178,39,4,64,0,0,1,1,27
불기소,죄가안됨,2015,119,27,2,54,1,0,1,1,10
불기소,죄가안됨,2016,138,44,4,51,0,8,0,2,12
불기소,죄가안됨,2017,138,25,10,60,0,0,3,1,11
불기소,죄가안됨,2018,157,25,12,68,0,0,0,1,14
불기소,죄가안됨,2019,150,33,8,47,0,0,1,0,17
불기소,공소권없음,2013,4692,490,153,3719,3,0,1,17,278
불기소,공소권없음,2014,4627,365,13,3004,3,0,1,26,389
불기소,공소권없음,2015,4999,205,11,3513,4,0,0,23,469
불기소,공소권없음,2016,5450,188,8,3881,5,0,0,33,446
불기소,공소권없음,2017,6112,161,15,4391,7,0,0,36,336
불기소,공소권없음,2018,5808,113,13,3884,20,0,53,26,302
불기소,공소권없음,2019,5268,90,9,3648,7,0,0,22,307
기소중지,소계,2013,3100,1598,15,151,34,2,2,1,17
기소중지,소계,2014,2125,1049,99,390,27,0,0,6,41
기소중지,소계,2015,1538,524,52,390,11,0,0,5,50
기소중지,소계,2016,1632,537,76,667,12,0,0,8,35
기소중지,소계,2017,530,114,25,57,3,0,1,1,10
기소중지,소계,2018,337,149,31,59,3,0,2,0,14
기소중지,소계,2019,295,95,36,86,2,0,0,0,14
참고인중지,소계,2013,152,57,4,29,1,0,0,1,1
참고인중지,소계,2014,121,66,14,15,0,0,0,0,1
참고인중지,소계,2015,76,25,5,19,1,0,0,0,1
참고인중지,소계,2016,55,21,3,4,1,0,0,0,0
참고인중지,소계,2017,33,15,3,8,2,0,0,0,0
참고인중지,소계,2018,30,13,4,7,0,0,0,0,0
참고인중지,소계,2019,28,9,0,11,0,0,0,0,1
공소보류,소계,2013,2,0,0,0,0,0,0,0,0
공소보류,소계,2014,0,0,0,0,0,0,0,0,0
공소보류,소계,2015,0,0,0,0,0,0,0,0,0
공소보류,소계,2016,0,0,0,0,0,0,0,0,0
공소보류,소계,2018,0,0,0,0,0,0,0,0,0
공소보류,소계,2019,0,0,0,0,0,0,0,0,0
