처분결과별(1),처분결과별(2),시점,소계,재산범죄,강력범죄(흉악),강력범죄(폭력),위조범죄,공무원범죄,풍속범죄,과실범죄,기타형법범죄
계,소계,2013,924021,439671,24162,317869,21704,3699,31792,7562,89713
계,소계,2014,920607,434141,25313,304991,22313,3328,27711,7776,104208
계,소계,2015,946996,441423,27179,316867,20232,3578,28676,8256,108821
계,소계,2016,939490,419379,28322,322981,19076,3629,34722,8599,112425
계,소계,2017,918160,418836,31687,311108,18558,4057,26506,9469,108329
계,소계,2018,906522,431852,31234,296067,15119,3445,21630,9496,107581
계,소계,2019,980279,488140,32663,295704,17371,3497,24502,10503,117497
기소,소계,2013,305116,121354,13624,101799,5673,810,13520,3037,45924
기소,소계,2014,290625,114101,14060,91417,5843,691,12099,2871,50077
기소,소계,2015,279910,115639,13477,82112,5650,987,12879,2857,46787
기소,소계,2016,290295,119528,13366,82331,5119,786,17905,2982,48700
기소,소계,2017,290101,123023,16046,83030,4965,951,12910,3492,46150
기소,소계,2018,280536,122459,15957,81985,4214,740,9819,3408,42555
기소,소계,2019,303426,138587,16166,84856,4683,519,11262,3720,44242
기소,구공판_구속,2013,19488,10624,3882,2723,433,248,257,37,1340
기소,구공판_구속,2014,21015,10123,4096,3361,416,226,270,28,2550
기소,구공판_구속,2015,22829,11908,3927,3371,419,371,463,23,2403
기소,구공판_구속,2016,23445,12355,3611,3438,379,263,694,16,2717
기소,구공판_구속,2017,21370,11707,3380,3021,407,267,617,30,1985
기소,구공판_구속,2018,19036,10675,3054,2788,332,173,415,30,1618
기소,구공판_구속,2019,18691,10635,2929,2653,347,100,479,29,1561
기소,구공판_불구속,2013,72407,38837,5987,16586,2180,452,1594,561,6463
기소,구공판_불구속,2014,85453,38973,9020,18292,2506,374,1115,682,14712
기소,구공판_불구속,2015,82643,38455,8934,16160,2281,510,1469,720,14305
기소,구공판_불구속,2016,93658,42197,8897,19778,2213,424,2325,778,17221
기소,구공판_불구속,2017,96711,45934,8327,20130,2337,562,1791,903,16907
기소,구공판_불구속,2018,95712,48353,8705,19375,1930,456,1306,912,14919
기소,구공판_불구속,2019,103495,55547,8931,19097,2338,342,1611,984,14923
기소,구약식,2013,213221,71893,3755,82490,3060,110,11669,2439,38121
기소,구약식,2014,184157,65005,944,69764,2921,91,10714,2161,32815
기소,구약식,2015,174438,65276,616,62581,2950,106,10947,2114,30079
기소,구약식,2016,173192,64976,858,59115,2527,99,14886,2188,28762
기소,구약식,2017,172020,65382,4339,59879,2221,122,10502,2559,27258
기소,구약식,2018,165788,63431,4198,59822,1952,111,8098,2466,26018
기소,구약식,2019,181240,72405,4306,63106,1998,77,9172,2707,27758
소년보호송치,소계,2013,-3720,35,0,9,6,0,0,0,9
소년보호송치,소계,2014,35,1421,65,1101,121,0,0,2,111
소년보호송치,소계,2015,2744,2981,257,1429,124,0,0,5,124
소년보호송치,소계,2016,45,1302,72,1186,169,0,1,0,133
소년보호송치,소계,2017,32,1377,97,1637,133,0,0,2,163
소년보호송치,소계,2018,45,1416,73,1656,119,0,1,5,151
소년보호송치,소계,2019,16,1404,89,1511,111,0,2,6,163
가정보호송치,소계,2013,6331,314,28,5963,0,0,0,4,26
가정보호송치,소계,2014,8979,417,35,8476,0,0,0,3,53
가정보호송치,소계,2015,19226,1083,56,18045,0,0,0,12,61
가정보호송치,소계,2016,21318,1566,43,19691,0,0,0,4,54
가정보호송치,소계,2017,18323,1376,48,16899,0,0,0,10,32
가정보호송치,소계,2018,19315,1652,50,17606,0,0,0,7,41
가정보호송치,소계,2019,23077,2278,38,20739,1,0,0,11,49
성매매보호송치,소계,2013,0,0,0,0,0,0,0,0,0
성매매보호송치,소계,2014,1,0,1,0,0,0,0,0,0
성매매보호송치,소계,2015,1,1,0,0,0,0,0,0,0
성매매보호송치,소계,2016,2,0,1,1,0,0,0,0,0
성매매보호송치,소계,2017,2,2,0,0,0,0,0,0,0
성매매보호송치,소계,2018,3,0,2,1,0,0,0,0,0
성매매보호송치,소계,2019,3,1,2,0,0,0,0,0,0
아동보호송치,소계,2013,0,0,0,0,0,0,0,0,0
아동보호송치,소계,2014,0,0,0,0,0,0,0,0,0
아동보호송치,소계,2015,0,0,0,0,0,0,0,0,0
아동보호송치,소계,2016,335,5,23,291,0,0,0,0,16
아동보호송치,소계,2017,296,2,23,258,0,0,0,1,14
아동보호송치,소계,2018,370,3,28,319,0,0,0,2,18
아동보호송치,소계,2019,552,18,35,480,0,0,0,0,20
불기소,소계,2013,526951,232891,9789,205738,12875,2834,17374,4200,41251
불기소,소계,2014,511744,231478,9968,193975,12998,2517,14827,4211,48975
불기소,소계,2015,551320,251002,12026,203284,11921,2548,15155,4605,56097
불기소,소계,2016,552950,244165,13143,207947,11633,2791,15954,4681,57664
불기소,소계,2017,562502,255757,14847,206424,12008,3027,13007,5573,57896
불기소,소계,2018,525687,238638,14094,190546,9395,2647,11095,5656,60036
불기소,소계,2019,520657,230927,15047,182493,10355,2912,12214,6186,66337
불기소,기소유예,2013,179901,93195,2891,61872,3857,164,13118,1627,8795
불기소,기소유예,2014,172961,92937,4415,53034,3783,175,12512,1676,9809
불기소,기소유예,2015,195285,111492,5984,50005,3185,184,12618,1724,13742
불기소,기소유예,2016,182590,105417,5961,43141,3124,150,13080,1816,12965
불기소,기소유예,2017,191464,118633,6202,41838,3435,198,10332,2088,12475
불기소,기소유예,2018,165565,104007,5025,35574,2124,303,8572,2024,11860
불기소,기소유예,2019,139435,81813,4973,31012,1681,126,9045,2047,12256
불기소,혐의없음,2013,194044,126305,3594,27900,7750,2567,2737,1575,24795
불기소,혐의없음,2014,199714,126676,5012,27117,8293,2242,1873,1470,27988
불기소,혐의없음,2015,206947,130823,5604,26406,7978,2282,2301,1654,30771
불기소,혐의없음,2016,209353,131177,6729,25512,7742,2537,2452,1569,32693
불기소,혐의없음,2017,210776,129335,8054,25550,7552,2752,2340,1948,34351
불기소,혐의없음,2018,207595,125743,8409,25571,6476,2261,2005,2051,36141
불기소,혐의없음,2019,234934,140569,9427,27950,7985,2675,2534,2415,42446
불기소,죄가 안됨,2013,1160,147,15,1143,44,27,166,12,734
불기소,죄가안됨,2014,2682,184,27,1423,9,21,225,17,818
불기소,죄가안됨,2015,2613,221,21,1338,16,22,123,11,884
불기소,죄가안됨,2016,2900,248,22,1596,11,43,229,18,750
불기소,죄가안됨,2017,3010,267,40,1672,14,11,192,7,835
불기소,죄가안됨,2018,3225,342,42,1683,9,18,409,15,744
불기소,죄가안됨,2019,3279,347,39,1524,10,25,494,22,862
불기소,공소권 없음,2013,141891,13244,3289,114823,1224,76,1353,986,6927
불기소,공소권없음,2014,136387,11681,514,112401,913,79,217,1048,10360
불기소,공소권없음,2015,146475,8466,417,125535,742,60,113,1216,10700
불기소,공소권없음,2016,158107,7323,431,137698,756,61,193,1278,11256
불기소,공소권없음,2017,157252,7522,551,137364,1007,66,143,1530,10235
불기소,공소권없음,2018,149302,8546,618,127718,786,65,109,1566,11291
불기소,공소권없음,2019,143009,8198,608,122007,679,86,141,1702,10773
기소중지,소계,2013,84447,75479,620,3754,2564,40,778,313,2179
기소중지,소계,2014,96974,78095,1098,9402,2766,96,751,685,4594
기소중지,소계,2015,85676,64377,1275,11581,2113,42,584,766,5444
기소중지,소계,2016,69171,47567,1578,11133,1839,49,787,923,5592
기소중지,소계,2017,41957,33274,543,2516,1187,51,555,386,3764
기소중지,소계,2018,75630,64234,980,3672,1220,40,664,405,4494
기소중지,소계,2019,127776,111316,1223,5354,1962,60,976,572,6375
참고인중지,소계,2013,11299,9598,101,606,586,15,120,8,324
참고인중지,소계,2014,10355,8629,86,620,585,24,34,4,398
참고인중지,소계,2015,7621,6340,88,416,424,1,58,11,308
참고인중지,소계,2016,6386,5246,96,401,316,3,75,9,266
참고인중지,소계,2017,5089,4025,83,344,265,28,34,5,310
참고인중지,소계,2018,4315,3450,50,282,171,18,51,13,286
참고인중지,소계,2019,4568,3609,63,271,259,6,48,8,311
공소보류,소계,2013,-2,0,0,0,0,0,0,0,0
공소보류,소계,2014,0,0,0,0,0,0,0,0,0
공소보류,소계,2015,0,0,0,0,0,0,0,0,0
공소보류,소계,2016,0,0,0,0,0,0,0,0,0
공소보류,소계,2018,0,0,0,0,0,0,0,0,0
공소보류,소계,2019,0,0,0,0,0,0,0,0,0
