범행동기별,2013,2014,2015,2016,2017,2018,2019,합계,증감율
이욕,139654,129876,144506,156009,150743,139967,147402,1008157,2.4
사행심,20877,19603,18486,20510,16488,17074,18770,131808,-13.7
보복,609,459,436,564,404,361,347,3180,-48.1
가정불화,7324,6998,19867,25748,22497,20340,22886,125660,219
호기심,17538,16095,16216,21659,17705,9418,10402,109033,-21.2
유혹,10307,8619,8662,9715,8849,6848,6318,59318,-48.9
우발적,276679,260454,257026,256264,247259,262269,270976,1830927,-5
현실불만,9954,9251,8490,8899,7760,6004,6017,56375,-53
부주의,241492,239305,239789,246204,224815,198468,190411,1580484,-20
기타,548867,542305,537847,568647,493444,395225,370829,3457164,-35.4
미상,873949,646583,697641,705977,671832,693485,710450,4999917,-11.3
